person_id	display_name	wikidata_qid	born	died	note
adams	Adams, Michael				seen in world championship games; identity unverified
alekhine	Alekhine, Alexander				seen in world championship games; identity unverified
aljechin	Aljechin, Yuri				seen in world championship games; identity unverified
anand	Anand, Viswanathan				seen in world championship games; identity unverified
bikova	Bikova, E.				seen in world championship games; identity unverified
bogoljubow	Bogoljubow, Efim				seen in world championship games; identity unverified
botvinnik	Botvinnik, Mikhail				seen in world championship games; identity unverified
bronstein	Bronstein, David I				seen in world championship games; identity unverified
bykova	Bykova, Elizaveta				seen in world championship games; identity unverified
capablanca	Capablanca, Jose				seen in world championship games; identity unverified
carlsen	Carlsen, Magnus				seen in world championship games; identity unverified
caruana	Caruana, Fabiano				seen in world championship games; identity unverified
ding	Ding, Liren				seen in world championship games; identity unverified
euwe	Euwe, Max				seen in world championship games; identity unverified
fischer	Fischer, Robert J				seen in world championship games; identity unverified
forgacs	Forgacs, Leo				seen in world championship games; identity unverified
galliamova	Galliamova, Alisa				seen in world championship games; identity unverified
gaprindashvili	Gaprindashvili, Nona				seen in world championship games; identity unverified
gelfand	Gelfand, Boris				seen in world championship games; identity unverified
goryachkina	Goryachkina, Aleksandra				seen in world championship games; identity unverified
gukesh-d	Gukesh D				seen in world championship games; identity unverified
gulko	Gulko, Boris				seen in world championship games; identity unverified
gunsberg	Gunsberg, Isidor				seen in world championship games; identity unverified
hou	Hou, Yifan(HLJ)				seen in world championship games; identity unverified
ioseliani	Ioseliani, Nana				seen in world championship games; identity unverified
ivanchuk	Ivanchuk, Vasyl				seen in world championship games; identity unverified
ju	Ju, Wenjun				seen in world championship games; identity unverified
kamsky	Kamsky, Gata				seen in world championship games; identity unverified
karjakin	Karjakin, Sergey				seen in world championship games; identity unverified
karpov	Karpov, Anatoly				seen in world championship games; identity unverified
kasparov	Kasparov, Garry				seen in world championship games; identity unverified
koneru	Koneru, Humpy				seen in world championship games; identity unverified
korchnoi	Korchnoi, Viktor				seen in world championship games; identity unverified
kramnik	Kramnik, Vladimir				seen in world championship games; identity unverified
kushnir-aleksandr	Kushnir Aleksandr				seen in world championship games; identity unverified
lasker	Lasker, Emanuel				seen in world championship games; identity unverified
lei	Lei, Tingjie				seen in world championship games; identity unverified
leko	Leko, Peter				seen in world championship games; identity unverified
marshall-viele	Marshall Viele, Fabrizio Aaron				seen in world championship games; identity unverified
morrison	Morrison, John				seen in world championship games; identity unverified
muzychuk	Muzychuk, Mariya				seen in world championship games; identity unverified
nepomniachtchi	Nepomniachtchi, Ian				seen in world championship games; identity unverified
petrosian	Petrosian, Tigran V				seen in world championship games; identity unverified
polgar	Polgar, Susan				seen in world championship games; identity unverified
ponomariov	Ponomariov, Ruslan				seen in world championship games; identity unverified
romanishin	Romanishin, Oleg M				seen in world championship games; identity unverified
ruan	Ruan, Lufei				seen in world championship games; identity unverified
rubtsova	Rubtsova, Olga				seen in world championship games; identity unverified
short	Short, Nigel D				seen in world championship games; identity unverified
smyslov	Smyslov, Vasily				seen in world championship games; identity unverified
spassky	Spassky, Boris Vasily				seen in world championship games; identity unverified
steinitz	Steinitz, Wilhelm				seen in world championship games; identity unverified
tal	Tal, Mikhail				seen in world championship games; identity unverified
tan	Tan, Zhongyi				seen in world championship games; identity unverified
tarrasch	Tarrasch, Siegbert				seen in world championship games; identity unverified
timman	Timman, Jan H				seen in world championship games; identity unverified
tiviakov	Tiviakov, Sergei				seen in world championship games; identity unverified
topalov	Topalov, Veselin				seen in world championship games; identity unverified
xie	Xie, Jun				seen in world championship games; identity unverified
zukertort	Zukertort, Johannes				seen in world championship games; identity unverified
zvorykina	Zvorykina, K.				seen in world championship games; identity unverified
